Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
Comofi Medtech,"Health Care, Robotics","Bangalore, Karnataka, India",Comofi Medtech is a healthcare robotics startup.,Less than $1M,Active,2018,contact@comofimedtech.com,—,"Hardware, Health Care, Science and Engineering, Software",5,"Gururaj KB, Raghunath S Krishnappa, Rakesh Sharma, Satish Kalme, Vikas Kulkarni",11-50,1,Seed,"₹21,500,000","₹21,500,000",Growing,—,—,—,—,1,—
CarzSo,Automotive,"Gurgaon, Haryana, India",CarzSo is a virtual pre-owned car company.,—,Active,2019,—,—,Transportation,—,—,11-50,1,Seed,"₹50,000,000","₹50,000,000",—,—,—,—,—,—,—
Fixcraft,Automotive,"Gurgaon, Haryana, India",Fixcraft is a full-stack cloud-garage car servicing startup.,—,Active,2018,support@fixcraft.in,—,Transportation,3,"Abhishek Goyal, Inderjeet Rao, Vivek Sharma",101-250,3,Seed,"$1,000,000","$1,000,000",—,—,"29,335",2795.85%,1180%,—,832
Smart Express,"Air Transportation, Logistics","Mumbai, Maharashtra, India",Smart Express operates as a logistics technology startup.,—,Active,2018,—,—,Transportation,1,Yogesh Dhingra,—,1,Seed,"₹1,000,000,000","₹1,000,000,000",—,—,—,—,—,—,—
BalleBaazi,"Gaming, Sports","Delhi, Delhi, India",BalleBaazi is an Online gaming startup.,$1M to $10M,Active,2018,support@ballebaazi.com,—,"Gaming, Sports",1,Saurabh Chopra,11-50,2,Early Stage Venture,"$5,000,000","$5,000,000",Growing,—,"31,635",-76.15%,547.83%,—,149
Chariot Tech,"Internet of Things, Telecommunications","New Delhi, Delhi, India",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,—,Active,2017,info@chariotco.in,—,"Hardware, Internet Services",2,"Nilay Mehrotra, Raj Garg",1-10,1,Seed,"₹20,000,000","₹20,000,000",—,—,—,—,—,—,—
RipenApps Technologies,"Information Technology, Mobile Apps, Web Apps, Web Design, Web Development","Noida, Uttar Pradesh, India",RipenApps is a Mobile App Development Company,—,Active,2017,sales@ripenapps.com,—,"Apps, Design, Information Technology, Mobile, Software",2,"Ishan Gupta, Saurabh Pandey",101-250,1,—,"A$300,000",—,Growing,—,"74,851",173.74%,-36.19%,—,409
CornerCart,"E-Commerce, E-Commerce Platforms, SaaS, Software","Kochi, Kerala, India",CornerCart is a suite of Shopify apps for Customer Engagement,—,Active,2018,care@cornercart.io,—,"Commerce and Shopping, Internet Services, Software",2,"Arun Augustine, Jovis Aloor",1-10,1,Seed,"₹5,000,000","₹5,000,000",—,—,548,-17.35%,-88.94%,—,111
MergerDomo Services,—,"Noida, Uttar Pradesh, India",MergerDomo.com – an Online Global Corporate Deal Sourcing & Consulting marketplace,Less than $1M,Active,2018,hormazd@mergerdomo.in,—,—,2,"Hormazd Charna, Manoj Mishra",11-50,3,Seed,"₹15,000,000","$706,219",—,—,922,-96.77%,300%,—,232
Delta X Automotive,"Last Mile Transportation, Transportation","Bangalore, Karnataka, India",Delta X Automotive is an EV startup with a singular vision of accelerating EV adoption in India through affordability.,—,Active,2019,—,—,Transportation,—,—,1-10,5,Seed,"₹7,900,000","₹7,900,000",—,—,177,—,—,—,0
NatureDots,"Artificial Intelligence (AI), Computer Vision, Embedded Systems, Farming, GreenTech, Image Recognition, Internet of Things, Natural Resources, Software","New Delhi, Delhi, India",Creating resource-intelligent Nature-based systems and solutions integrated with DeepTech for climate-resilient sustainable future.,$1M to $10M,Active,2019,reachus@naturedots.com,—,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Natural Resources, Science and Engineering, Software, Sustainability",2,"Mohammad Aatish Khan, Snehal Verma",11-50,9,—,—,"$355,000",Growing,—,—,—,—,—,
CamCom,"Artificial Intelligence (AI), Automotive, Computer Vision, Machine Learning, Software","Bangalore, Karnataka, India","CamCom in a deeptech startup with primary focus on quality assessment, defect and damage detection, using computer vision",$1M to $10M,Active,2017,umesh@camcom.ai,—,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",3,"Ajith Nayar, Mahesh Subramanian, Umesh Subramanian",11-50,2,Seed,—,—,—,—,"200,516",57685.59%,635.79%,—,"1,398"
Grohood,E-Commerce Platforms,"Bangalore, Karnataka, India",Grohood is a tech startup that provides a neighbourhood community buying platform.,—,Active,2019,prem.chand@grohood.com; prince.jose@grohood.com,—,"Commerce and Shopping, Internet Services",—,—,1-10,2,Seed,"₹8,000,000","₹15,700,000",—,—,—,—,—,—,
Edvizo,"Consumer, Education","Kormangala, Karnataka, India",Edvizo is an education based startup.,$1M to $10M,Active,2018,info@edvizo.com,—,"Education, Other",1,Ravi Nishant,11-50,3,Seed,"$1,300,000","$1,300,000",—,—,—,—,—,—,
BharatX,"Credit, Financial Services, FinTech","Bengaluru, Karnataka, India","BharatX is an Embedded Consumer Credit company that enables Apps & Websites to give their users, Credit as a Feature.",$1M to $10M,Active,2019,contact@bharatx.tech,—,"Financial Services, Lending and Investments",5,"Eeshan Sharma, Hrishikesh Bhargava, Mehul Nath Jindal, Shyam Murugan, Siddharth Venu",1-10,4,—,"$4,738,009","$4,738,009",Growing,Medium,"55,202",-6.97%,216.47%,—,269
Bolo App,"Apps, Video","Bengaluru, Karnataka, India",Bolo App is a video-based Q&A startup.,—,Closed,2018,help@theboloapp.com,—,"Apps, Media and Entertainment, Software, Video",2,"Nishant Chandra, Siddharth Maheshwari",1-10,1,Seed,"₹30,000,000","₹30,000,000",—,—,—,—,—,—,
Party Hunt,"Concerts, Event Management, Event Promotion, Events, Independent Music, Mobile Apps, Music, Music Venues, Nightclubs, Nightlife","Mandrem, Goa, India",A mobile app to discover nightlife & promote music events.,Less than $1M,Active,2018,contact@partyhunt.com,—,"Apps, Events, Media and Entertainment, Mobile, Music and Audio, Software",1,Rachit Rawat,11-50,2,Seed,"$100,000","$100,000",—,—,812,318.56%,-96.73%,—,128
ChotaBeta (Acquired by QwQer India Pvt Ltd),"B2B, B2C, Delivery Service, Electric Vehicle, Last Mile Transportation, Logistics, Mobile Apps, Same Day Delivery, Transportation","Hyderabad, Andhra Pradesh, India",ChotaBeta is a Micro Local Market Place App focused on B2C & B2B by partnering with MSME store in Consumable Goods sector.,—,Active,2019,support@chotabeta.com,—,"Apps, Mobile, Other, Software, Transportation",2,"Santosh MSV, Srinivas Aravala",11-50,6,Seed,"$700,000","$700,000",—,—,—,—,—,—,
Biofi,"Diabetes, Health Care, Manufacturing, Medical Device","Bengaluru, Karnataka, India",Biofi is a manufacturer of diabetes management devices.,$1M to $10M,Active,2018,contact@biofimed.com,—,"Health Care, Manufacturing",2,"Pauldurai Shanmugam, Ravikumar Rajendra Prasad",101-250,1,Seed,"₹5,000,000","₹5,000,000",—,—,—,—,—,—,
Genetico Research & Diagnostics,"Biotechnology, Health Care, Life Science","Delhi, Delhi, India",Genetico Research & Diagnostics is developing a specialised health-IT system for institutes engaged in diagnosis of genetic diseases.,—,Active,2018,—,—,"Biotechnology, Health Care, Science and Engineering",1,Arjun Gupta,11-50,2,—,"₹2,000,000","₹2,000,000",—,—,143,126.98%,—,—,0
New Emerging World of Journalism,"News, Online Portals, Publishing, Social","Parel, Maharashtra, India","New Emerging World of Journalism is a platform for youngsters who are passionate about creative storytelling, video production.",$1B to $10B,Active,2018,newj@thenewj.com,—,"Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment",3,"Anshuman Sarda, Kunal Chaudhary, Shalabh Upadhyay",11-50,1,—,"$1,730,000","$1,730,000",—,—,177,-2.21%,-80%,—,138
PivotConsult (Formerly DeepFlux),"Analytics, Information Technology, SaaS, Software","Noida, Uttar Pradesh, India",Full Stack Platform for Customer & Marketing Analytics and Activation,$1M to $10M,Active,2018,contact@deepflux.io,—,"Data and Analytics, Information Technology, Software",2,"Abhimanyu Vyas, Harshit Surana",11-50,3,Seed,"$530,000","$530,000",—,—,—,—,—,—,
yBANQ,"B2B, Financial Services, FinTech, Management Consulting, Software","Bengaluru, Karnataka, India",yBANQ is a fintech startup that simplifies collection and reconciliation for large B2B businesses in India.,Less than $1M,Active,2019,support@ybanq.com,—,"Financial Services, Other, Professional Services, Software",3,"Abhishek Ayyagari, Ahamed Shah, Ganesh Mallya",11-50,2,M&A,"$1,150,000","$1,150,000",—,—,186,—,—,—,4
Vidcare Innovations,Health Care,"Pune, Maharashtra, India","Vidcare Innovations is a startup that develops portable health tests to make diagnostic testing convenient, accessible to everyone.",—,Active,2017,contact@vidcare.in,—,Health Care,1,Rohan Aggarwal,1-10,2,Seed,"$300,000","$300,000",—,—,—,—,—,—,
Bettr Credit,Financial Services,"Mumbai, Maharashtra, India",Bettr Credit is a values-driven start-up on a mission to provide financial products to one and all.,—,Active,2019,support@bettr.co.in,—,Financial Services,—,—,51-100,1,Seed,"$5,000,000","$5,000,000",—,—,177,—,—,—,135
Jiyyo,"Health Care, Mobile Apps","Chandigarh, Chandigarh, India","Jiyyo upgrades existing Primary Health Centers via a low cost, sustainable and high-tech franchise model. Jiyyo operates 1200+ e-Clinics",—,Active,2017,info@jiyyo.com,—,"Apps, Health Care, Mobile, Software",3,"Dr Meghna Bharadwaj, Jahid Ali, Siddharth Angrish",51-100,3,Seed,"$850,000","$850,000",—,—,—,—,—,—,
Klivolks,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Intelligent Systems, Internet of Things, Machine Learning, Product Research, Robotics, Software","Trivandrum, Kerala, India","Klivolks focuses on enterprise automation including sales, invoice, workflow using AI/ML, Robotics and IoT.",Less than $1M,Active,2018,info@klivolks.com,—,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Internet Services, Science and Engineering, Software",1,Vishnu Prakash,11-50,1,Seed,"₹200,000","₹200,000",—,—,177,—,—,—,—
Autostop Solution,Automotive,"Delhi, Delhi, India",Autostop's goal is to make you attain nirvana by delivering worry-free and convenient Car Servicing Solution at rock bottom prices.,—,Active,2018,support@autostopsolution.com,—,Transportation,2,"Aftaab Ali, Hasnain Ali",11-50,2,Seed,"₹8,400,000","₹8,400,000",—,—,—,—,—,—,—
Mushin Innovation Labs,"Industrial Automation, Manufacturing, Warehouse Automation","New Delhi, Delhi, India","Mushin Innovation Labs Pvt. Ltd. offers industry automation solutions, operates as a startup incubator, and develops IoT products.",$1M to $10M,Active,2019,info@mushinlabs.com,—,"Manufacturing, Science and Engineering, Transportation",2,"Rachit Srivastava, Rishi Gupta",11-50,1,Seed,"$250,000","$250,000",—,—,179,-47.04%,—,—,—
Tech Counsellor,"Consulting, Education, Information Technology, Market Research, Product Research","Kotdwara, Uttarakhand, India","Engineering Services, consultancy, research and development, product development.",—,Active,2018,info@techcounsellor.com,—,"Data and Analytics, Design, Education, Information Technology, Professional Services",3,"Ajit Kumar Yadav, Mukesh Chandra Kestwal, Renu Thapliyal",1-10,2,Seed,"₹2,500,000","₹5,500,000",—,—,359,-25.67%,-94.52%,—,229
Motocross India,"Automotive, Information Technology, Service Industry, Technical Support","Belgaum, Karnataka, India",Motocross India is an app based largest local garage chain and also largest two-wheeler resellers in India.,—,Active,2018,info@motocrossindia.in,—,"Information Technology, Other, Transportation",1,Karan Javali,11-50,1,—,"₹1,800,000",—,—,—,—,—,—,—,—
Feezital,"DIY, E-Commerce, E-Commerce Platforms, Marketplace, SaaS","Junagadh, Gujarat, India","Enterprise-grade B2B SaaS for Physical & Digital Commerce. Enabling small B2B & B2C sellers to sell online & offline, locally and globally.",Less than $1M,Active,2019,info@feelkaro.com,—,"Commerce and Shopping, Consumer Goods, Internet Services, Software",1,Hardas Odedra,1-10,1,Seed,"₹3,000,000","₹3,000,000",—,—,186,-77.99%,—,—,—
Cellestial E-mobility,Electronics,"Hyderabad, Andhra Pradesh, India",Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,$1M to $10M,Closed,2019,—,—,"Consumer Electronics, Hardware",4,"Midhun Kumar, Siddhartha Durairajan, Syed Mubasheer Ali, Vinod Moudgil",1-10,2,M&A,"$700,000","$700,000",—,—,"2,580",-8.97%,338.46%,—,0
illumnus,"B2B, E-Learning, Education, SaaS, Software","Pune, Maharashtra, India","An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",$1M to $10M,Active,2018,info@illumnus.com,—,"Education, Other, Software",4,"Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",11-50,2,Seed,"$140,000","$140,000",—,—,—,—,—,—,—
Prithvi.ai,"Artificial Intelligence (AI), Data Mining","Noida, Uttar Pradesh, India",Prithvi.ai is a seed stage accelerator program.,—,Active,2018,—,—,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Himanshu Ujjawal Singh, Nandan Mishra",1-10,2,Seed,"₹10,000,000","₹10,000,000",—,—,—,—,—,—,—
Prayaan Capital,"Finance, Financial Services, FinTech","Chennai, Tamil Nadu, India","Prayaan Capital is runs a financial technology startup focussed on lending to micro, small and medium enterprises.",$1M to $10M,Active,2018,info@prayaancapital.com,—,Financial Services,1,G. Madhan Mohan,101-250,1,Seed,"$1,200,000","$1,200,000",—,—,—,—,—,—,—
EWar Games,Online Games,"Bengaluru, Karnataka, India",EWar Games is a e-sports and real-time gaming start-up.,—,Active,2019,support@ewar.in,—,Gaming,1,Parth Chadha,11-50,3,Seed,"$200,000","$200,000",—,—,—,—,—,—,—
GamesKraft,"Computer, Gaming, Online Games","Bengaluru, Karnataka, India",Gameskraft is a gaming company that develops web and mobile games.,$100M to $500M,Active,2017,grievance.officer@gameskraft.com,—,"Consumer Electronics, Gaming, Hardware",1,Prithvi Singh,501-1000,—,—,—,—,Growing,Medium,"5,679",58.94%,120.35%,—,249
Chutney,"B2B, E-Commerce, Fruit, Supply Chain Management, Wholesale","Coimbatore, Tamil Nadu, India",Chutney is an online store that offers fresh fruits and vegetables at wholesale prices.,Less than $1M,Active,2019,hello@chutneystore.com,—,"Commerce and Shopping, Food and Beverage, Other, Transportation",2,"Jhansi Elango, Vivek Nautiyal",1-10,1,Seed,"$150,000","$150,000",—,—,—,—,—,—,—
Azah,"Consumer Goods, Health Care","Delhi, Delhi, India",Azah is a premium organic wellness startup for women,—,Active,2018,—,Seed,"Consumer Goods, Health Care",2,"Aqib Mohammed, Shashwat Diesh",1-10,2,Seed,"$200,000","$200,000",—,—,"53,967",1358.17%,-82.43%,—,113
TechGraph,"Digital Media, Media and Entertainment, News, Publishing","Mumbai, Maharashtra, India","Covering latest news, analysis, and opinions on Technology, Startups, Business and on Crypto's from India and World.",Less than $1M,Active,2018,contact@techgraph.co,—,"Content and Publishing, Media and Entertainment",2,"Krishna Mali, Shanaz Khan",1-10,1,—,"₹157,000",—,—,—,—,48.70%,45.96%,—,416
GoHive - CoWorking,"Commercial Real Estate, Coworking, Real Estate","Gurgaon, Haryana, India","GoHive is the fastest growing CoWorking startup, currently operating 8 centres in Delhi & Gurugram, and soon entering Bengaluru & Mumbai.",$1M to $10M,Active,2017,mishu@gohive.in,—,Real Estate,1,Mishu Ahluwalia,11-50,2,Seed,"₹35,000,000","₹35,000,000",—,—,—,—,—,—,—
